logFC AveExpr t P.Value adj.P.Val B Symbol ENSG_id
ENSG00000253930.1 2.54600443783418 -0.130343203908341 17.9986697989853 4.51595745052194e-59 4.27893980793243e-58 123.399637506784 RP11-1149O23.2 ENSG00000253930.1
ENSG00000258474.1 5.23746081148617 -2.26819942590044 17.9687502821321 6.47543872008545e-59 6.10524213071097e-58 123.040296128661 RP11-187E13.1 ENSG00000258474.1
ENSG00000257698.1 -2.14833892116443 1.74248557689508 -17.9006003597128 1.47049364128026e-58 1.37537587355796e-57 122.222547908821 RP11-620J15.3 ENSG00000257698.1
ENSG00000272462.2 -1.56138387963459 -0.0221364930779976 -17.8923950362777 1.62300145930008e-58 1.51523177855708e-57 122.124160965765 U91328.19 ENSG00000272462.2
ENSG00000255031.5 -2.23641437882227 1.76883513288312 -17.849300294149 2.7292187781905e-58 2.53095638062591e-57 121.605984604502 RP11-802E16.3 ENSG00000255031.5
ENSG00000231160.9 -2.24146343092871 0.182353442905082 -17.8253455208913 3.63300915954217e-58 3.36295841801067e-57 121.320770821825 KLF3-AS1 ENSG00000231160.9
ENSG00000259153.1 4.24590912321318 -1.24417992538302 17.8250007005779 3.75083294214681e-58 3.46991852834746e-57 121.289265776128 RP6-65G23.3 ENSG00000259153.1
ENSG00000222041.10 1.91267350708549 3.5601247420626 17.81194179398 4.26747269291375e-58 3.94308273351904e-57 121.160290421126 LINC00152 ENSG00000222041.10
ENSG00000177410.12 2.04997910202969 7.11807251622756 17.8095109970473 4.39385932014465e-58 4.05740459617473e-57 121.131191363387 ZFAS1 ENSG00000177410.12
ENSG00000260025.1 -1.87384748229207 0.878807293887834 -17.7907195189357 5.50572621319666e-58 5.0657330146149e-57 120.906284719039 RP11-490M8.1 ENSG00000260025.1
ENSG00000260077.1 -2.07402635410324 0.795200839874315 -17.7313028680928 1.12292100559512e-57 1.02086769608781e-56 120.195693021573 RP11-254F7.2 ENSG00000260077.1
ENSG00000256940.1 4.23123844177462 -0.283933396594743 17.6433223100823 4.51021856492071e-57 4.02594407301728e-56 118.813394438996 RP11-783K16.5 ENSG00000256940.1
ENSG00000249307.5 -3.03941114313499 -0.181702222297072 -17.4605351339214 2.94276677715132e-56 2.57999466583008e-55 116.939989762157 LINC01088 ENSG00000249307.5
ENSG00000281383.1 4.94787123630705 -1.88725485412541 17.3568772335565 9.83186211275037e-56 8.50737700113482e-55 115.737125633257 CH507-513H4.5 ENSG00000281383.1
ENSG00000267082.1 -2.68244748340505 -0.377928302170859 -17.3207707162308 1.51061798413919e-55 1.30121272433898e-54 115.308994813167 CTC-510F12.2 ENSG00000267082.1
ENSG00000275719.1 1.92868425263855 -0.318476657162439 17.2688509534675 2.79972090770743e-55 2.39002475920968e-54 114.693934692425 CTB-147N14.6 ENSG00000275719.1
ENSG00000232229.5 -2.20409192685003 -0.683275205332884 -17.2503225249956 3.48874986391884e-55 2.97489542616445e-54 114.474605599358 LINC00865 ENSG00000232229.5
ENSG00000247498.9 1.92691041365586 1.44549825688468 17.1855122150037 7.52687744426943e-55 6.35080284360233e-54 113.708107037399 RP11-392P7.6 ENSG00000247498.9
ENSG00000279689.1 -1.67537887618914 -0.0995137184224241 -17.1671746567956 9.35444341606846e-55 7.84939682684953e-54 113.491428138952 RP11-574K11.32 ENSG00000279689.1
ENSG00000255455.2 -1.61907134188625 1.0787749455753 -17.1366210310749 1.34346850977675e-54 1.11809122294841e-53 113.130595649595 RP11-890B15.3 ENSG00000255455.2
ENSG00000280798.1 -1.54304642865724 2.06474669929107 -17.0686467378878 3.00335286931433e-54 2.47253901896331e-53 112.328703266074 LINC00294 ENSG00000280798.1
ENSG00000279716.1 -2.18400383208322 1.44419331985802 -16.9979910195735 6.92710448172587e-54 5.63889961946255e-53 111.495702597182 AC006128.2 ENSG00000279716.1
ENSG00000276855.1 -2.10329557365935 2.17159999098671 -16.9891503877201 7.775971392254e-54 6.31978921624054e-53 111.380620448056 CTD-3157E16.2 ENSG00000276855.1
ENSG00000240291.1 -1.7399296363069 0.235893236698543 -16.9553151284138 1.14539622883562e-53 9.26459144797845e-53 110.994435286757 RP11-499P20.2 ENSG00000240291.1
ENSG00000269549.2 -2.39093102239474 -0.407126181114706 -16.9535354645095 1.16969621327216e-53 9.44611738140116e-53 110.973510309028 RP3-461P17.10 ENSG00000269549.2
ENSG00000249395.2 5.04669729115268 -0.970612814894498 16.9794005264365 1.17092866188395e-53 9.45106705663475e-53 110.97625938046 CASC9 ENSG00000249395.2
ENSG00000227403.1 4.27480357261795 -1.55029070725361 16.9478461001769 1.25088570921635e-53 1.00857618890567e-52 110.906621444145 AC009299.3 ENSG00000227403.1
ENSG00000275888.1 -2.20764642065357 0.745717661306626 -16.8609770579476 3.48138502264603e-53 2.75745215578739e-52 109.886399229499 RP13-516M14.10 ENSG00000275888.1
ENSG00000228242.6 -2.00294055849882 1.05505569534388 -16.7139170125532 1.96015011570867e-52 1.52873670834028e-51 108.163962439629 AC093495.4 ENSG00000228242.6
ENSG00000256028.2 -1.90040669098267 -0.465490307179267 -16.7031350741864 2.22441220173163e-52 1.73041346952657e-51 108.037914459397 RP11-197N18.2 ENSG00000256028.2
ENSG00000259244.1 -3.05322308150727 0.086648073506013 -16.7053455416129 2.49904583585618e-52 1.94108677321721e-51 107.923704104038 RP11-182J1.12 ENSG00000259244.1
ENSG00000241769.7 -2.16640484778227 1.69684079779005 -16.6578191933025 3.90742160649174e-52 3.02117164759409e-51 107.47683525333 LINC00893 ENSG00000241769.7
ENSG00000237753.1 -1.80502674374378 0.174899518703977 -16.6400218156326 4.66069261107201e-52 3.58903916112587e-51 107.300731048633 AC079922.3 ENSG00000237753.1
ENSG00000234290.2 -1.6874135170127 -0.487941638111376 -16.6092619729461 6.68095181553495e-52 5.10355132428571e-51 106.941852200766 AC116366.6 ENSG00000234290.2
ENSG00000274173.1 4.85246194264053 0.405832259460962 16.6380054412209 6.83035251533996e-52 5.21506644752308e-51 106.924419804514 RP4-568C11.4 ENSG00000274173.1
ENSG00000276488.1 -2.34859531814397 -0.611268381601586 -16.5641859697213 1.13188952048573e-51 8.59481066949215e-51 106.416429358179 CTD-2537I9.18 ENSG00000276488.1
