logFC AveExpr t P.Value adj.P.Val B Symbol
ENSG00000138160.5 3.99159918867762 0.983368301052692 30.7798238585178 4.94611928446279e-129 5.27643704087272e-127 284.154681933891 KIF11
ENSG00000267206.5 -6.60031444131454 -1.08784271092208 -30.7715491036216 5.48685755278849e-129 5.81263971998531e-127 284.051119937283 LCN6
ENSG00000219928.2 12.5086221049317 2.88810077099401 30.9205427133435 6.19126502812274e-129 6.51363779338017e-127 283.938660140658 RP11-40C6.2
ENSG00000090889.11 4.16025438786649 0.804418380241189 30.7554282376951 6.71605585997286e-129 7.01735836601959e-127 283.849345517103 KIF4A
ENSG00000108381.10 -4.29575211906945 -1.26690299075391 -30.7144884044133 1.12228245039355e-128 1.16465433882677e-126 283.336838842958 ASPA
ENSG00000214199.3 3.46401697807291 -0.78924816690316 30.6894246643184 1.53689684945903e-128 1.58414604314172e-126 283.023014530163 EEF1A1P12
ENSG00000109906.13 -5.99287733326628 0.116476524925315 -30.7423836401802 2.41601691365072e-128 2.47357973273434e-126 282.576092112292 ZBTB16
ENSG00000136108.14 2.86515405135892 2.53379605955776 30.6377820710797 2.93798106172847e-128 2.98792673977786e-126 282.376244914575 CKAP2
ENSG00000068976.13 -4.64705510863426 0.484993527023901 -30.645231163625 3.31637709946242e-128 3.35041938094697e-126 282.256206169415 PYGM
ENSG00000135063.17 -4.19912109296311 0.361672382443932 -30.6223319745851 3.56660218823308e-128 3.57950765667734e-126 282.182709430176 FAM189A2
ENSG00000165480.15 5.39743514770257 0.25338089555662 30.6788957108634 3.73403551102313e-128 3.72305305363777e-126 282.140044894967 SKA3
ENSG00000163239.12 -4.10788807292893 -1.05360748779718 -30.5805624038471 6.02483215714998e-128 5.96810484138461e-126 281.659393496797 TDRD10
ENSG00000185480.11 3.21666944486452 1.25417272876557 30.5658490584883 7.24706955336203e-128 7.13251909913147e-126 281.475024155788 PARPBP
ENSG00000149554.12 2.86014599482201 2.29028483723196 30.5301977349938 1.13386998830075e-127 1.10879401740564e-125 281.028219145711 CHEK1
ENSG00000121211.7 3.71632404165742 0.915871999390829 30.526639707361 1.1856782513868e-127 1.15207144744621e-125 280.983622494746 MND1
ENSG00000073111.13 3.15962426936106 2.82741806593412 30.4985360915149 1.68749838598958e-127 1.62929037204247e-125 280.631336140834 MCM2
ENSG00000100526.19 3.63848069687611 2.78365291636211 30.490630737485 1.86364662434284e-127 1.78804586505346e-125 280.532229870311 CDKN3
ENSG00000119147.9 -6.79029385501922 0.586071674193219 -30.6245713183229 1.98720714913005e-127 1.89467781624868e-125 280.47542225769 C2orf40
ENSG00000245694.8 3.8883342063522 0.253460149162628 30.4542703810873 2.94251678265115e-127 2.78808034281636e-125 280.076335190224 CRNDE
ENSG00000261616.1 -5.17058174927346 -0.382112184349504 -30.4356205975641 3.71941666765331e-127 3.50245069537353e-125 279.842462080934 RP11-6O2.3
ENSG00000273045.5 3.11750046808537 0.15784554696818 30.4317952498772 3.90254432902073e-127 3.65235053614793e-125 279.794488076862 C2orf15
ENSG00000157193.14 3.00415754321904 0.875186603572019 30.4175893766331 4.66515707070541e-127 4.33944945814701e-125 279.616321654398 LRP8
ENSG00000144218.18 -4.14653187851403 -0.799592070007332 -30.3984068799142 5.93678373432704e-127 5.48882641619146e-125 279.375716276822 AFF3
ENSG00000165905.16 5.76853035235358 0.721963035283937 30.5110495573928 6.00373693670664e-127 5.51728957647348e-125 279.370508125945 GYLTL1B
ENSG00000266964.5 -5.57427563569894 3.1002279009148 -30.5056446753979 8.36655715904038e-127 7.6426245186324e-125 279.040368848142 FXYD1
ENSG00000120149.8 4.08469926922673 0.0226002364835728 30.2524031767732 3.72150777439231e-126 3.37926197014016e-124 277.543522671384 MSX2
ENSG00000164850.14 -3.22770853612099 0.873101309169477 -30.2507034821328 3.80192052304858e-126 3.43185192775775e-124 277.522184255542 GPER1
ENSG00000135069.13 3.40024247358276 2.77280448924632 30.2489636812088 3.88603134441569e-126 3.48714165641537e-124 277.500342121204 PSAT1
ENSG00000268942.2 9.28358546382548 -2.25230996455879 30.18302914162 8.90691961921734e-126 7.9459098708281e-124 276.672415655802 CKS1BP3
ENSG00000142945.12 3.5453773414451 1.78769571244315 30.1702064760897 1.04664000907613e-125 9.28284496421883e-124 276.511368299902 KIF2C
ENSG00000168477.17 -4.41354723139085 3.13047768321263 -30.2177602308618 1.47201539629373e-125 1.29801126418849e-123 276.174967844928 TNXB
ENSG00000214575.9 -4.78351269260541 -0.860167385100258 -30.1312269628422 1.70935702941971e-125 1.49863456803435e-123 276.021730680193 CPEB1
ENSG00000146410.11 3.2442841033032 0.679357065325552 30.1254580694362 1.83808484698618e-125 1.60228481947281e-123 275.949256183934 MTFR2
ENSG00000162461.7 -3.52440391426399 -0.00853055079192488 -30.1194394914254 1.98273275638558e-125 1.71855614765125e-123 275.873642420066 SLC25A34
ENSG00000081059.19 3.18731859550226 2.45276090798563 30.0967062518565 2.63959964855853e-125 2.2749769852407e-123 275.588012933961 TCF7
ENSG00000249264.1 3.53895727201515 -0.878415068760495 30.0264430609588 6.39349803680461e-125 5.47937149165474e-123 274.704970911998 EEF1A1P9
ENSG00000258274.1 -8.30460583528826 -2.16695413405403 -30.008326364446 8.03202418680235e-125 6.84516921618267e-123 274.477231544287 RP11-887P2.5
