"","group","RP5.1021I20.1","RP11.440D17.3","MIR210HG","LINC00261","AC113189.5","CTB.25B13.12","AC114730.3"
"GTEX.145LS.2726.SM.5Q5D8","NonTumor",3.8401,1.0007,1.5998,-6.5064,3.6838,1.8801,-3.3076
"GTEX.ZZ64.0726.SM.5GZX4","NonTumor",1.5661,0.03,2.5263,0.537,3.6382,2.2603,1.4808
"TCGA.A6.6138.01","Tumor",-0.1828,2.5852,2.2299,2.081,1.5115,2.6805,-0.3383
"TCGA.AZ.4616.01","Tumor",-0.8084,2.3898,3.7741,1.7995,3.0252,2.7095,-0.4325
"TCGA.A6.5659.11","NonTumor",1.8363,1.4011,2.8158,0.9862,2.3193,2.4252,2.2693
"GTEX.Y5LM.1426.SM.5RQJL","NonTumor",0.9038,0.4967,2.8661,1.6875,4.1579,2.4412,1.5612
"GTEX.ZT9W.1726.SM.51MS3","NonTumor",0.9568,-0.1187,0.7233,-6.5064,4.4061,2.6556,-1.7809
"TCGA.AA.A02K.01","Tumor",-0.1665,1.3623,3.1669,-0.7108,1.0847,3.6838,2.8522
"TCGA.A6.2685.01","Tumor",0.03,1.0007,2.6302,2.5996,3.1179,2.2082,0.9862
"GTEX.ZLFU.1426.SM.4WWEU","NonTumor",0.044,-0.013,0.2522,-9.9658,4.2548,2.5163,-3.458
"TCGA.AZ.6601.11","NonTumor",0.2277,0.1903,1.7532,2.96,2.3592,2.3536,3.87
"TCGA.DM.A1HA.01","Tumor",1.5415,-5.5735,1.1316,-6.5064,2.1047,2.8321,0.7493
"GTEX.131YS.2926.SM.5EGKI","NonTumor",2.0776,0.3796,2.1798,-2.9324,3.9487,2.7508,-3.1714
"GTEX.117YW.1826.SM.5PNY5","NonTumor",1.6512,-0.4325,0.9568,0.547,1.8524,-0.1187,2.5972
"TCGA.AA.3713.01","Tumor",0.6239,-0.1345,2.8199,5.2987,2.5238,3.4726,1.9749
"TCGA.G4.6627.01","Tumor",1.934,0.0718,1.4859,2.6647,2.694,2.3193,1.5514
"GTEX.PWCY.1026.SM.48TD4","NonTumor",-0.9132,1.0779,2.4985,1.7316,2.6602,2.5112,2.4518
"GTEX.XUZC.1326.SM.4BRV2","NonTumor",0.4657,0.7058,4.0436,2.376,3.0602,2.4198,3.3478
"GTEX.147JS.2626.SM.5S2UX","NonTumor",2.4985,0.3685,1.6045,-9.9658,4.0198,2.9338,-1.7322
"TCGA.AA.3502.01","Tumor",1.2696,3.0498,2.8562,7.1824,3.0463,2.7763,0.9191
"GTEX.13W3W.2126.SM.5K7UX","NonTumor",2.5238,1.4808,1.4228,-6.5064,3.6451,1.8242,-0.9406
"GTEX.ZVT3.2826.SM.5GU6A","NonTumor",2.6464,0.9568,1.6649,-2.9324,4.2173,3.4331,-3.6259
"TCGA.AA.A01X.01","Tumor",1.2455,2.0395,1.4859,1.7097,3.0428,2.8381,2.6161
"GTEX.WOFM.1926.SM.4OOSP","NonTumor",2.7139,1.4808,4.7231,3.2405,2.5487,3.0498,3.1145
"TCGA.CK.5913.01","Tumor",-0.9686,-2.3884,3.417,3.9487,2.5511,2.0912,1.1641
"TCGA.4N.A93T.01","Tumor",0.5859,3.2374,4.0884,1.2992,2.5363,2.3816,2.3953
