term beta HR CI wald.test HR.pvalue
1 stageii 1.01587244451488 2.76177183930008 0.635410098470738-12.0038754667388 1.3550643287139 0.175397062485938
2 stageiii 1.66435154582237 5.28224684391402 1.23629113231786-22.5692241824361 2.24623947305361 0.0246886731388811
3 stageiv 2.79134667145708 16.3029597560871 3.85338754211852-68.9747641272723 3.79295728808667 0.000148863769451705
292 KRTAP5.AS1 0.44 1.6  (1.11-2.18) 6.6 0.0102
293 CTC.338M12.4 0.3 1.4  (0.878-2.09) 1.88 0.17
294 RP11.250B2.3 0.1 1.1  (0.719-1.71) 0.22 0.638
295 RNASEH1.AS1 -0.038 0.96  (0.875-1.06) 0.62 0.429
296 JAZF1.AS1 -1.6 0.2  (2.9e-07-140000) 0.05 0.815
297 LINC01426 -0.11 0.89  (0.627-1.27) 0.39 0.532
298 USP27X.AS1 0.42 1.5  (0.818-2.85) 1.76 0.184
299 MAGI2.AS3 0.029 1  (0.737-1.44) 0.03 0.865
300 C5orf58 -0.28 0.76  (0.29-1.98) 0.32 0.569
301 MAPKAPK5.AS1 0.02 1  (0.956-1.09) 0.37 0.545
302 SNRK.AS1 -0.31 0.74  (0.253-2.14) 0.32 0.573
303 MED14OS 0.13 1.1  (0.652-2.01) 0.22 0.639
304 SDCBP2.AS1 -0.089 0.92  (0.688-1.22) 0.37 0.541
305 GAS5 0.001 1  (0.997-1.01) 0.21 0.643
306 SOX9.AS1 0.39 1.5  (0.569-3.82) 0.64 0.425
307 AC104667.3 0.38 1.5  (1.09-1.94) 6.61 0.0101
308 DPP10.AS1 0.05 1.1  (0.918-1.2) 0.52 0.471
309 LINC00094 -0.16 0.85  (0.638-1.13) 1.21 0.271
310 ITGA9.AS1 0.017 1  (0.417-2.48) 0 0.971
311 MCF2L.AS1 -0.0043 1  (0.954-1.04) 0.04 0.844
312 LINC00957 0.35 1.4  (1.08-1.84) 6.55 0.0105
313 AC114730.11 0.69 2  (1.28-3.1) 9.36 0.00221
314 LINC00961 -0.4 0.67  (0.162-2.79) 0.3 0.585
315 LINC01278 0.047 1  (0.952-1.15) 0.92 0.337
316 TOPORS.AS1 -0.09 0.91  (0.589-1.42) 0.16 0.689
317 LINC00494 -0.78 0.46  (0.0608-3.48) 0.57 0.452
318 LINC00894 -0.0077 0.99  (0.746-1.32) 0 0.958
